Player,Age,Tm,MP,RBS,AST,STL,BLK,TOV,PTS,FG_per,FT_perc
James Harden,25,HOU,36.8,5.7,7,1.9,0.7,4,27.4,0.44,0.868
Chris Paul,29,LAC,34.8,4.6,10.2,1.9,0.2,2.3,19.1,0.485,0.9
Stephen Curry,26,GSW,32.7,4.3,7.7,2,0.2,3.1,23.8,0.487,0.914
Anthony Davis,21,NOP,36.1,10.2,2.2,1.5,2.9,1.4,24.4,0.535,0.805
DeAndre Jordan,26,LAC,34.4,15,0.7,1,2.2,1.3,11.5,0.71,0.397
Jimmy Butler,25,CHI,38.7,5.8,3.3,1.8,0.6,1.4,20,0.462,0.834
Damian Lillard,24,POR,35.7,4.6,6.2,1.2,0.3,2.7,21,0.434,0.864
Russell Westbrook,26,OKC,34.4,7.3,8.6,2.1,0.2,4.4,28.1,0.426,0.835
Pau Gasol,34,CHI,34.4,11.8,2.7,0.3,1.9,2,18.5,0.494,0.803
Kyrie Irving,22,CLE,36.4,3.2,5.2,1.5,0.3,2.5,21.7,0.468,0.863
LeBron James,30,CLE,36.1,6,7.4,1.6,0.7,3.9,25.3,0.488,0.71
Tyson Chandler,32,DAL,30.5,11.5,1.1,0.6,1.2,1.4,10.3,0.666,0.72
Marc Gasol,30,MEM,33.2,7.8,3.8,0.9,1.6,2.2,17.4,0.494,0.795
Tim Duncan,38,SAS,28.9,9.1,3,0.8,2,1.7,13.9,0.512,0.74
Rudy Gobert,22,UTA,26.3,9.5,1.3,0.8,2.3,1.4,8.4,0.604,0.623
Blake Griffin,25,LAC,35.2,7.6,5.3,0.9,0.5,2.3,21.9,0.502,0.728
Klay Thompson,24,GSW,31.9,3.2,2.9,1.1,0.8,1.9,21.7,0.463,0.879
Gordon Hayward,24,UTA,34.4,4.9,4.1,1.4,0.4,2.7,19.3,0.445,0.812
Al Horford,28,ATL,30.5,7.2,3.2,0.9,1.3,1.3,15.2,0.538,0.759
Kevin Love,26,CLE,33.8,9.7,2.2,0.7,0.5,1.6,16.4,0.434,0.804
LaMarcus Aldridge,29,POR,35.4,10.2,1.7,0.7,1,1.7,23.4,0.466,0.845
Marcin Gortat,30,WAS,29.9,8.7,1.2,0.6,1.3,1.2,12.2,0.566,0.703
Kawhi Leonard,23,SAS,31.8,7.2,2.5,2.3,0.8,1.5,16.5,0.479,0.802
Draymond Green,24,GSW,31.5,8.2,3.7,1.6,1.3,1.7,11.7,0.443,0.66
Derrick Favors,23,UTA,30.8,8.2,1.5,0.8,1.7,1.6,16,0.525,0.669
Paul Millsap,29,ATL,32.7,7.8,3.1,1.8,0.9,2.3,16.7,0.476,0.757
Jonas Valanciunas,22,TOR,26.2,8.7,0.5,0.4,1.2,1.4,12,0.572,0.786
Danny Green,27,SAS,28.5,4.2,2,1.2,1.1,1.1,11.7,0.436,0.874
John Wall,24,WAS,35.9,4.6,10,1.7,0.6,3.8,17.6,0.445,0.785
Andre Drummond,21,DET,30.5,13.5,0.7,0.9,1.9,1.5,13.8,0.514,0.389
Jeff Teague,26,ATL,30.5,2.5,7,1.7,0.4,2.8,15.9,0.46,0.862
Kyle Korver,33,ATL,32.2,4.1,2.6,0.7,0.6,1.4,12.1,0.487,0.898
Dirk Nowitzki,36,DAL,29.6,5.9,1.9,0.5,0.4,1.1,17.3,0.459,0.882
Zach Randolph,33,MEM,32.5,10.5,2.2,1,0.2,2.2,16.1,0.487,0.765
Kyle Lowry,28,TOR,34.5,4.7,6.8,1.6,0.2,2.5,17.8,0.412,0.808
Eric Bledsoe,25,PHO,34.6,5.2,6.1,1.6,0.6,3.4,17,0.447,0.8
DeMarre Carroll,28,ATL,31.3,5.3,1.7,1.3,0.2,1.1,12.6,0.487,0.702
Ty Lawson,27,DEN,35.5,3.1,9.6,1.2,0.1,2.5,15.2,0.436,0.73
Brook Lopez,26,BRK,29.2,7.4,0.7,0.6,1.8,1.4,17.2,0.513,0.814
Nikola Vucevic,24,ORL,34.2,10.9,2,0.7,0.7,2,19.3,0.523,0.752
Mike Conley,27,MEM,31.8,3,5.4,1.3,0.2,2.2,15.8,0.446,0.859
Goran Dragic,28,TOT,33.8,3.5,4.5,1,0.2,2.2,16.3,0.501,0.774
Greg Monroe,24,DET,31,10.2,2.1,1.1,0.5,2.2,15.9,0.496,0.75
Tristan Thompson,23,CLE,26.8,8,0.5,0.4,0.7,1,8.5,0.547,0.641
Harrison Barnes,22,GSW,28.3,5.5,1.4,0.7,0.2,0.9,10.1,0.482,0.72
Khris Middleton,23,MIL,30.1,4.4,2.3,1.5,0.1,1.4,13.4,0.467,0.859
J.J. Redick,30,LAC,30.9,2.1,1.8,0.5,0.1,1.2,16.4,0.477,0.901
Trevor Ariza,29,HOU,35.7,5.6,2.5,1.9,0.2,1.7,12.8,0.402,0.853
Lou Williams,28,TOR,25.2,1.9,2.1,1.1,0.1,1.3,15.5,0.404,0.861
Tyler Zeller,25,BOS,21.1,5.7,1.4,0.2,0.6,0.9,10.2,0.549,0.823
Enes Kanter,22,TOT,28.5,8.9,0.7,0.5,0.4,1.9,15.5,0.519,0.782
Ed Davis,25,LAL,23.3,7.6,1.2,0.6,1.2,0.7,8.3,0.601,0.487
Giannis Antetokounmpo,20,MIL,31.4,6.7,2.6,0.9,1,2.1,12.7,0.491,0.741
Wesley Matthews,28,POR,33.7,3.7,2.3,1.3,0.2,1.4,15.9,0.448,0.752
Rudy Gay,28,SAC,35.4,5.9,3.7,1,0.6,2.7,21.1,0.455,0.858
Patrick Patterson,25,TOR,26.6,5.3,1.9,0.7,0.5,0.7,8,0.449,0.788
Isaiah Thomas,25,TOT,25.8,2.3,4.2,0.9,0.1,2.1,16.4,0.42,0.868
Brandan Wright,27,TOT,19.3,4.3,0.5,0.7,1.3,0.5,7.3,0.642,0.696
DeMarcus Cousins,24,SAC,34.1,12.7,3.6,1.5,1.7,4.3,24.1,0.467,0.782
Nikola Mirotic,23,CHI,20.2,4.9,1.2,0.7,0.7,1.1,10.2,0.405,0.803
Anthony Morrow,29,OKC,24.4,2.6,0.8,0.7,0.1,0.5,10.7,0.463,0.888
Timofey Mozgov,28,TOT,25.2,7.3,0.7,0.4,1.2,1.4,9.7,0.555,0.718
Kenneth Faried,25,DEN,27.8,8.9,1.2,0.8,0.8,1.6,12.6,0.507,0.691
Serge Ibaka,25,OKC,33.1,7.8,0.9,0.5,2.4,1.5,14.3,0.476,0.836
Joakim Noah,29,CHI,30.6,9.6,4.7,0.7,1.1,1.8,7.2,0.445,0.603
Chandler Parsons,26,DAL,33.1,4.9,2.4,1,0.3,1.5,15.7,0.462,0.72
Paul Pierce,37,WAS,26.2,4,2,0.6,0.3,1.3,11.9,0.447,0.781
Luol Deng,29,MIA,33.6,5.2,1.9,0.9,0.3,1.5,14,0.469,0.761
George Hill,28,IND,29.5,4.2,5.1,1,0.3,1.6,16.1,0.477,0.79
Brandon Bass,29,BOS,23.5,4.9,1.3,0.5,0.4,1,10.6,0.504,0.79
Hassan Whiteside,25,MIA,23.8,10,0.1,0.6,2.6,1.2,11.8,0.628,0.5
Nicolas Batum,26,POR,33.5,5.9,4.8,1.1,0.6,1.9,9.4,0.4,0.857
Andrew Bogut,30,GSW,23.6,8.1,2.7,0.6,1.7,1.6,6.3,0.563,0.524
Jeff Green,28,TOT,31.5,4.2,1.7,0.7,0.4,1.4,15,0.43,0.833
Andre Iguodala,31,GSW,26.9,3.3,3,1.2,0.3,1.1,7.8,0.466,0.596
Amir Johnson,27,TOR,26.4,6.1,1.6,0.6,0.8,1.5,9.3,0.574,0.612
Robin Lopez,26,POR,27.8,6.7,0.9,0.3,1.4,1.2,9.6,0.535,0.772
Omer Asik,28,NOP,26.1,9.8,0.9,0.4,0.7,1.3,7.3,0.517,0.582
Gorgui Dieng,25,MIN,30,8.3,2,1,1.7,1.7,9.7,0.506,0.783
Reggie Jackson,24,TOT,29.5,4.2,6,0.8,0.1,2.4,14.5,0.434,0.83
P.J. Tucker,29,PHO,30.6,6.4,1.6,1.4,0.3,1.2,9.1,0.438,0.727
Kevin Durant,26,OKC,33.8,6.6,4.1,0.9,0.9,2.7,25.4,0.51,0.854
Taj Gibson,29,CHI,27.3,6.4,1.1,0.6,1.2,1.2,10.3,0.502,0.717
Tobias Harris,22,ORL,34.8,6.3,1.8,1,0.5,1.7,17.1,0.466,0.788
Courtney Lee,29,MEM,30.6,2.3,2,1,0.2,1,10.1,0.448,0.86
Mason Plumlee,24,BRK,21.3,6.2,0.9,0.8,0.8,1.3,8.7,0.573,0.495
Al Jefferson,30,CHO,30.6,8.4,1.7,0.7,1.3,1,16.6,0.481,0.655
Donatas Motiejunas,24,HOU,28.7,5.9,1.8,0.8,0.5,1.7,12,0.504,0.602
Tyreke Evans,25,NOP,34.1,5.3,6.6,1.3,0.5,3.1,16.6,0.447,0.694
Markieff Morris,25,PHO,31.5,6.2,2.3,1.2,0.5,2.1,15.3,0.465,0.763
Cory Joseph,23,SAS,18.3,2.4,2.4,0.6,0.2,0.8,6.8,0.504,0.734
Brandon Knight,23,TOT,32.3,3.9,5.2,1.4,0.2,3,17,0.422,0.874
Kemba Walker,24,CHO,34.2,3.5,5.1,1.4,0.5,1.6,17.3,0.385,0.827
Luis Scola,34,IND,20.5,6.5,1.3,0.6,0.2,1.2,9.4,0.467,0.699
Matt Barnes,34,LAC,29.9,4,1.5,0.9,0.7,1.1,10.1,0.444,0.779
David West,34,IND,28.7,6.8,3.4,0.7,0.7,1.8,11.7,0.471,0.739
Marvin Williams,28,CHO,26.1,4.9,1.3,0.9,0.5,0.8,7.4,0.424,0.713
Devin Harris,31,DAL,22.2,1.8,3.1,1,0.2,1.1,8.8,0.418,0.815
Roy Hibbert,28,IND,25.3,7.1,1.1,0.2,1.6,1.4,10.6,0.446,0.824
Zaza Pachulia,30,MIL,23.7,6.8,2.4,1.1,0.3,1.8,8.3,0.454,0.788
Steven Adams,21,OKC,25.3,7.5,0.9,0.5,1.2,1.4,7.7,0.544,0.502
Tony Allen,33,MEM,26.2,4.4,1.4,2,0.5,1.4,8.6,0.495,0.627
Jared Dudley,29,MIL,23.8,3.1,1.8,1,0.2,0.9,7.2,0.468,0.716
Mike Dunleavy,34,CHI,29.2,3.9,1.8,0.6,0.3,1,9.4,0.435,0.805
James Johnson,27,TOR,19.6,3.7,1.4,0.8,1,1.1,7.9,0.589,0.657
Joe Johnson,33,BRK,34.9,4.8,3.7,0.7,0.2,1.7,14.4,0.435,0.801
Tony Parker,32,SAS,28.7,1.9,4.9,0.6,0,2.1,14.4,0.486,0.783
Bismack Biyombo,22,CHO,19.4,6.4,0.3,0.3,1.5,0.8,4.8,0.543,0.583
Robert Covington,24,PHI,27.9,4.5,1.5,1.4,0.4,1.8,13.5,0.396,0.82
DeMar DeRozan,25,TOR,35,4.6,3.5,1.2,0.2,2.3,20.1,0.413,0.832
Ersan Ilyasova,27,MIL,22.7,4.8,1,0.6,0.3,0.8,11.5,0.472,0.645
Marcus Morris,25,PHO,25.2,4.8,1.6,0.8,0.2,0.9,10.4,0.434,0.628
Nerlens Noel,20,PHI,30.8,8.1,1.7,1.8,1.9,1.9,9.9,0.462,0.609
Marreese Speights,27,GSW,15.9,4.3,0.9,0.3,0.4,1.1,10.4,0.492,0.843
Tiago Splitter,30,SAS,19.8,4.8,1.5,0.7,0.7,1.2,8.2,0.558,0.75
Rodney Stuckey,28,IND,26.4,3.5,3.1,0.8,0.1,1.7,12.6,0.44,0.819
Jared Sullinger,22,BOS,27,7.6,2.3,0.8,0.7,1.3,13.3,0.439,0.744
C.J. Watson,30,IND,24.9,2.9,3.6,1,0.2,1.8,10,0.434,0.826
Aron Baynes,28,SAS,16,4.5,0.5,0.2,0.3,0.9,6.6,0.566,0.865
Jae Crowder,24,TOT,20.1,3.6,1.1,0.9,0.3,0.6,7.7,0.42,0.773
Danilo Gallinari,26,DEN,24.2,3.7,1.4,0.8,0.3,1,12.4,0.401,0.895
Darren Collison,27,SAC,34.8,3.2,5.6,1.5,0.3,2.5,16.1,0.473,0.788
Kris Humphries,29,WAS,21,6.5,0.9,0.5,0.4,0.7,8,0.473,0.744
Michael Kidd-Gilchrist,21,CHO,28.9,7.6,1.4,0.5,0.7,1.1,10.9,0.465,0.701
Cody Zeller,22,CHO,24,5.8,1.6,0.5,0.8,1,7.6,0.461,0.774
Bradley Beal,21,WAS,33.4,3.8,3.1,1.2,0.3,2,15.3,0.427,0.783
Manu Ginobili,37,SAS,22.7,3,4.2,1,0.3,2.2,10.5,0.426,0.721
J.R. Smith,29,TOT,29.7,3.1,2.8,1.2,0.3,1.4,12.1,0.417,0.75
Chris Andersen,36,MIA,18.9,5,0.7,0.4,1,0.7,5.3,0.58,0.667
Trevor Booker,27,UTA,19.8,5,1.1,0.5,0.5,1.1,7.2,0.487,0.581
Chris Bosh,30,MIA,35.4,7,2.2,0.9,0.6,2.2,21.1,0.46,0.772
Wilson Chandler,27,DEN,31.7,6.1,1.7,0.7,0.4,1.4,13.9,0.429,0.775
Jamal Crawford,34,LAC,26.6,1.9,2.5,0.9,0.2,1.4,15.8,0.396,0.901
Boris Diaw,32,SAS,24.5,4.3,2.9,0.4,0.3,1.6,8.7,0.46,0.774
Monta Ellis,29,DAL,33.7,2.4,4.1,1.9,0.3,2.5,18.9,0.445,0.752
Gerald Henderson,27,CHO,28.9,3.4,2.6,0.6,0.3,1.4,12.1,0.437,0.848
John Henson,24,MIL,18.3,4.7,0.9,0.4,2,1.3,7,0.566,0.569
Dwight Howard,29,HOU,29.8,10.5,1.2,0.7,1.3,2.8,15.8,0.593,0.528
C.J. Miles,27,IND,26.3,3.1,1.1,0.9,0.4,1,13.5,0.398,0.807
Kelly Olynyk,23,BOS,22.2,4.7,1.7,1,0.6,1.5,10.3,0.475,0.684
Amar'e Stoudemire,32,TOT,21.1,5.6,0.8,0.5,0.6,1.3,11.5,0.557,0.72
Jason Terry,37,HOU,21.3,1.6,1.9,0.9,0.2,1,7,0.422,0.813
Beno Udrih,32,MEM,18.9,1.8,2.8,0.6,0.1,1.1,7.7,0.487,0.853
Deron Williams,30,BRK,31.1,3.5,6.6,0.9,0.3,2.3,13,0.387,0.834
Ryan Anderson,26,NOP,27.5,4.8,0.9,0.5,0.3,1,13.7,0.399,0.854
Patrick Beverley,26,HOU,30.8,4.2,3.4,1.1,0.4,1.5,10.1,0.383,0.75
Solomon Hill,23,IND,29,3.8,2.2,0.8,0.2,1.4,8.9,0.396,0.824
Jonas Jerebko,27,TOT,16.4,3.8,0.9,0.6,0.2,0.6,6,0.446,0.848
Victor Oladipo,22,ORL,35.7,4.2,4.1,1.7,0.3,2.8,17.9,0.436,0.819
Dwyane Wade,33,MIA,31.8,3.5,4.8,1.2,0.3,3.4,21.5,0.47,0.768
D.J. Augustin,27,TOT,24,2,4.3,0.6,0,1.8,9.5,0.399,0.868
Tyler Hansbrough,29,TOR,14.3,3.6,0.3,0.4,0.2,0.3,3.6,0.521,0.698
Jrue Holiday,24,NOP,32.6,3.4,6.9,1.6,0.6,2.3,14.8,0.446,0.855
Alex Len,21,PHO,22,6.6,0.5,0.5,1.5,1.1,6.3,0.507,0.702
Al-Farouq Aminu,24,DAL,18.5,4.6,0.8,0.9,0.8,0.7,5.6,0.412,0.712
Aaron Brooks,30,CHI,23,2,3.2,0.7,0.2,1.9,11.6,0.421,0.833
Brandon Jennings,25,DET,28.6,2.5,6.6,1.1,0.1,2.2,15.4,0.401,0.839
Chris Kaman,32,POR,18.9,6.5,0.9,0.2,0.7,1.5,8.6,0.515,0.706
Kosta Koufos,25,MEM,16.6,5.3,0.5,0.4,0.8,0.9,5.2,0.508,0.647
Shaun Livingston,29,GSW,18.8,2.3,3.3,0.6,0.3,1.3,5.9,0.5,0.714
Alexis Ajinca,26,NOP,14.1,4.6,0.7,0.3,0.8,1,6.5,0.55,0.818
David Lee,31,GSW,18.4,5.2,1.7,0.6,0.5,1,7.9,0.511,0.654
Tarik Black,23,TOT,19,5.8,0.7,0.3,0.4,0.8,6,0.575,0.551
Corey Brewer,28,TOT,26.1,3.7,2.2,1.4,0.2,1.6,11.5,0.426,0.743
Jodie Meeks,27,DET,24.4,1.7,1.3,1,0.1,1,11.1,0.416,0.906
Thaddeus Young,26,TOT,32,5.4,2.3,1.6,0.3,1.5,14.1,0.466,0.655
Nene Hilario,32,WAS,25.3,5.1,1.8,1,0.3,1.9,11,0.511,0.604
Terrence Jones,23,HOU,26.9,6.7,1.1,0.5,1.8,1.1,11.7,0.528,0.606
Carmelo Anthony,30,NYK,35.7,6.6,3.1,1,0.4,2.2,24.2,0.444,0.797
Marco Belinelli,28,SAS,22.4,2.5,1.5,0.5,0,1,9.2,0.423,0.848
Eric Gordon,26,NOP,33.1,2.6,3.8,0.8,0.2,2,13.4,0.411,0.805
Quincy Pondexter,26,TOT,23.9,2.6,1.3,0.3,0.3,0.7,7.2,0.421,0.74
Marcus Smart,20,BOS,27,3.3,3.1,1.5,0.3,1.3,7.8,0.367,0.646
Lavoy Allen,25,IND,17,5.1,1.2,0.2,0.7,0.6,5,0.472,0.702
Leandro Barbosa,32,GSW,14.9,1.4,1.5,0.6,0.1,0.7,7.1,0.474,0.784
Kentavious Caldwell-Pope,21,DET,31.5,3.1,1.3,1.1,0.2,1.1,12.7,0.401,0.696
Mario Chalmers,28,MIA,29.6,2.6,3.8,1.5,0.1,2.2,10.2,0.403,0.774
Carl Landry,31,SAC,17,3.8,0.4,0.2,0.2,0.8,7.2,0.515,0.82
Meyers Leonard,22,POR,15.4,4.5,0.6,0.2,0.3,0.7,5.9,0.51,0.938
O.J. Mayo,27,MIL,23.9,2.6,2.8,0.8,0.3,1.8,11.4,0.422,0.827
Greivis Vasquez,28,TOR,24.3,2.6,3.7,0.6,0.1,1.5,9.5,0.408,0.758
Alan Anderson,32,BRK,23.6,2.8,1.1,0.8,0.1,0.8,7.4,0.443,0.812
J.J. Barea,30,DAL,17.7,1.7,3.4,0.4,0,0.9,7.5,0.42,0.809
Omri Casspi,26,SAC,21.1,3.9,1.5,0.5,0.1,1.3,8.9,0.489,0.733
Jeremy Lin,26,LAL,25.8,2.6,4.6,1.1,0.4,2.2,11.2,0.424,0.795
Otto Porter,21,WAS,19.4,3,0.9,0.6,0.4,0.7,6,0.45,0.734
Mike Scott,26,ATL,16.5,2.9,1.1,0.4,0,0.6,7.8,0.444,0.792
Anthony Tolliver,29,TOT,18.8,3.1,0.8,0.3,0.2,0.7,6.3,0.41,0.783
Arron Afflalo,29,TOT,32.1,3.2,1.7,0.5,0.1,1.5,13.3,0.424,0.843
Rasual Butler,35,WAS,20.1,2.6,0.8,0.4,0.3,0.6,7.7,0.422,0.791
Jarrett Jack,31,BRK,28,3.1,4.7,0.9,0.2,2.4,12,0.439,0.881
Miles Plumlee,26,TOT,16.4,4.4,0.5,0.6,0.9,0.7,4,0.535,0.478
Hollis Thompson,23,PHI,25,2.8,1.2,0.8,0.4,0.9,8.8,0.413,0.708
Avery Bradley,24,BOS,31.5,3.1,1.8,1.1,0.2,1.4,13.9,0.429,0.79
Ben McLemore,21,SAC,32.6,2.9,1.7,0.9,0.2,1.7,12.1,0.437,0.813
Tayshaun Prince,34,TOT,24.1,3.6,1.6,0.5,0.3,0.6,7.5,0.44,0.754
Dennis Schroder,21,ATL,19.7,2.1,4.1,0.6,0.1,1.9,10,0.427,0.827
Thabo Sefolosha,30,ATL,18.8,4.3,1.4,1,0.4,0.7,5.3,0.418,0.776
Evan Turner,26,BOS,27.6,5.1,5.5,1,0.2,2.4,9.5,0.429,0.752
Jerryd Bayless,26,MIL,22.3,2.7,3,0.8,0.2,1.7,7.8,0.426,0.883
Bojan Bogdanovic,25,BRK,23.8,2.7,0.9,0.4,0.1,1,9,0.453,0.821
Trey Burke,22,UTA,30.1,2.7,4.3,0.9,0.2,1.6,12.8,0.368,0.752
Caron Butler,34,DET,20.8,2.5,1,0.6,0.1,0.6,5.9,0.407,0.902
Jordan Clarkson,22,LAL,25,3.2,3.5,0.9,0.2,1.6,11.9,0.448,0.829
Terrence Ross,23,TOR,25.5,2.8,1,0.6,0.3,0.8,9.8,0.41,0.786
Tony Snell,23,CHI,19.6,2.4,0.9,0.4,0.2,0.7,6,0.429,0.8
Jason Thompson,28,SAC,24.6,6.5,1,0.4,0.7,1,6.1,0.47,0.622
Richard Jefferson,34,DAL,16.8,2.5,0.8,0.4,0.1,0.7,5.8,0.444,0.684
Elfrid Payton,20,ORL,30.4,4.3,6.5,1.7,0.2,2.5,8.9,0.425,0.551
Pablo Prigioni,37,TOT,17.9,1.8,2.6,1.2,0,0.9,4.1,0.399,0.854
Josh Smith,29,TOT,27.7,6.4,3.3,1,1.4,2.5,12.4,0.419,0.498
Cole Aldrich,26,NYK,16,5.5,1.2,0.6,1.1,1,5.5,0.478,0.781
Carlos Boozer,33,LAL,23.8,6.8,1.3,0.6,0.2,1.3,11.8,0.499,0.627
Nick Collison,34,OKC,16.7,3.8,1.4,0.5,0.4,0.7,4.1,0.419,0.692
Jordan Hill,27,LAL,26.8,7.9,1.5,0.5,0.7,1.5,12,0.459,0.738
Rodney Hood,22,UTA,21.3,2.3,1.7,0.6,0.2,0.9,8.7,0.414,0.763
Joe Ingles,27,UTA,21.2,2.2,2.3,0.9,0.1,1.2,5,0.415,0.75
Andre Miller,38,TOT,15.5,1.9,3.5,0.4,0.1,1.3,4.4,0.5,0.753
Alexey Shved,26,TOT,18.3,2.4,2.5,0.7,0.1,1.1,10.3,0.397,0.807
Steve Blake,34,POR,18.9,1.7,3.6,0.5,0.1,1.3,4.3,0.373,0.707
Matt Bonner,34,SAS,13,1.6,0.7,0.1,0.2,0.2,3.7,0.409,0.811
Evan Fournier,22,ORL,28.6,2.6,2.1,0.7,0,1.4,12,0.44,0.728
Channing Frye,31,ORL,24.9,3.9,1.3,0.6,0.5,1,7.3,0.392,0.886
Ian Mahinmi,28,IND,18.8,5.8,0.5,0.5,0.8,1,4.3,0.552,0.304
Andre Roberson,23,OKC,19.2,3.8,1,0.8,0.4,0.7,3.4,0.458,0.479
Henry Sims,24,PHI,19.2,4.9,1.1,0.5,0.4,1.4,8,0.474,0.774
Andrew Wiggins,19,MIN,36.2,4.6,2.1,1,0.6,2.2,16.9,0.437,0.76
Derrick Williams,23,SAC,19.8,2.7,0.7,0.5,0.1,0.8,8.3,0.447,0.684
Mo Williams,32,TOT,29.1,2.6,6.2,0.7,0.2,2.5,14.2,0.397,0.872
Shabazz Muhammad,22,MIN,22.8,4.1,1.2,0.5,0.2,0.9,13.5,0.489,0.717
Kyle Singler,26,TOT,21.8,2.4,1.1,0.6,0.3,0.7,6,0.386,0.769
Donald Sloan,27,IND,20.9,2.7,3.6,0.4,0,1.2,7.4,0.408,0.779
Matthew Dellavedova,24,CLE,20.6,1.9,3,0.4,0,0.9,4.8,0.362,0.763
Joey Dorsey,31,HOU,12.4,4,0.4,0.6,0.4,0.6,2.7,0.552,0.289
James Ennis,24,MIA,17,2.8,0.8,0.4,0.3,0.6,5,0.409,0.84
Kevin Garnett,38,TOT,20.3,6.6,1.6,1,0.4,1,6.9,0.467,0.8
Gerald Green,29,PHO,19.5,2.5,1.2,0.6,0.2,1.4,11.9,0.416,0.825
Kevin Martin,31,MIN,33.4,3.6,2.3,0.8,0,1.9,20,0.427,0.881
Mike Muscala,23,ATL,12.6,3,0.6,0.4,0.5,0.5,4.9,0.55,0.88
Anderson Varejao,32,CLE,24.5,6.5,1.3,0.7,0.6,1.3,9.8,0.555,0.733
